,Subj,Total,A,B,C,D,Study,Bad,Good,StudyNo,Payload
0,95_Subj_1,12.105263157894736,0.12631578947368421,0.09473684210526316,0.031578947368421054,0.7473684210526316,Fridberg,0.2210526315789474,0.7789473684210526,1,1
1,95_Subj_2,-7.105263157894737,0.25263157894736843,0.2736842105263158,0.12631578947368421,0.3473684210526316,Fridberg,0.5263157894736843,0.4736842105263158,1,1
2,95_Subj_3,-7.894736842105263,0.12631578947368421,0.3684210526315789,0.10526315789473684,0.4,Fridberg,0.49473684210526314,0.5052631578947369,1,1
3,95_Subj_4,-5.526315789473684,0.11578947368421053,0.35789473684210527,0.12631578947368421,0.4,Fridberg,0.4736842105263158,0.5263157894736843,1,1
4,95_Subj_5,1.0526315789473684,0.10526315789473684,0.25263157894736843,0.15789473684210525,0.4842105263157895,Fridberg,0.35789473684210527,0.6421052631578947,1,1
5,95_Subj_6,13.157894736842104,0.06315789473684211,0.18947368421052632,0.21052631578947367,0.5368421052631579,Fridberg,0.25263157894736843,0.7473684210526316,1,1
6,95_Subj_7,-1.5789473684210527,0.2,0.3263157894736842,0.08421052631578947,0.3894736842105263,Fridberg,0.5263157894736843,0.47368421052631576,1,1
7,95_Subj_8,1.5789473684210527,0.12631578947368421,0.29473684210526313,0.10526315789473684,0.47368421052631576,Fridberg,0.42105263157894735,0.5789473684210527,1,1
8,95_Subj_9,-6.052631578947368,0.10526315789473684,0.35789473684210527,0.12631578947368421,0.4105263157894737,Fridberg,0.4631578947368421,0.5368421052631579,1,1
9,95_Subj_10,15.526315789473685,0.031578947368421054,0.21052631578947367,0.12631578947368421,0.631578947368421,Fridberg,0.2421052631578947,0.7578947368421052,1,1
10,95_Subj_11,-3.6842105263157894,0.14736842105263157,0.42105263157894735,0.09473684210526316,0.3368421052631579,Fridberg,0.5684210526315789,0.43157894736842106,1,1
11,95_Subj_12,-3.4210526315789473,0.15789473684210525,0.4421052631578947,0.17894736842105263,0.22105263157894736,Fridberg,0.6,0.4,1,1
